tripno,ozone,empst,occ,jbsite,wkweek,female,age,dweltp,pinc,hhsize,nveh,weight,nwkrs,nldr,hinc,trdist,mindst,minsub,dsttrm,nterm,aivtt,rivttg,rivttt,r-acca,r-egrw,r-wait,r-fare,lrdum,tivtt,twait,t-accw,t-egrw,t-fare,mcost,mdist,mspace,lnlots,zcost,zdist,zspace,zcd,zcs,zds,mdpri,mspri,lnlpri,zdpri,zspri,zdspri,free,aavail,tavail,dlic,a-dr,a-pass,transit,rail,walk
4350,117,2,1,1,1,1,22,2,3,5,2,1.78,9,9,0,8,101,9,11,21,23,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,14.32,1.88,1.97,8.07,0.71,6.01,654,4.68,4.8,5.8,55829.55,1.24,-122.95,0.43,-54.33,76,3.31,1.1,81.55,0.52,1,640,9,1,1,-1,0,1,-1,-1
4365,29,2,1,1,1,1,34,4,23,4,1,0.89,-50,-50,0,1,296,9,14,22,4,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,5.55,2.16,2.51,2.14,0.71,6.36,631,4.79,4.64,5.76,45299.31,1.28,-266.56,0.08,-66.62,0,0,9.99,0,0,0,0,5,1,1,-1,0,1,-1,0
4383,147,1,1,1,1,0,60,4,28,2,9,0.8,2,1,30,5,192,5,9,21,24,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,8.31,1,2.67,3.35,0.71,5.4,603,4.66,4.47,3.84,50525.13,0.9,80.32,0.05,-33.1,0,0,9.99,0,0,0,0,5,1,0,-1,0,1,-1,-1
4489,855,2,2,1,2,1,28,1,48,3,3,0.78,9,9,0,37,550,5,17,22,76,33.22,3.76,7.91,1.71,1,4.11,0,63.03,16,1.71,6.88,1.42,5.49,636,4.86,4.23,3.52,57431.97,0.92,-155.75,0,-9.03,85,2.84,1.1,10.89,0.1,-1,10,1,4,1,1,0,0,0,-1
4506,337,2,8,1,1,0,30,1,28,3,1,1.72,9,9,0,27,273,9,4,20,55,9999.99,0,9999.99,4.6,0,2.1,1,47.33,6.27,3.15,7.37,0.71,6.3,639,4.78,4.69,5.7,45672.77,1.27,-260.05,0.16,-60.36,0,0,9.99,0,0,0,0,1,1,1,0,0,0,1,-1
4508,337,2,8,1,1,1,29,1,33,3,1,1.72,9,9,0,27,296,9,4,20,55,9999.99,0,9999.99,3.92,0,2.1,1,47.2,6.26,2.74,7.37,0.71,6.36,631,4.79,4.64,5.76,45299.31,1.28,-266.56,0.08,-66.62,0,0,9.99,0,0,0,0,2,1,1,0,0,0,1,-1
4513,184,2,1,1,1,1,57,1,100,2,1,1.47,-50,-50,0,12,154,10,8,21,35,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,25.87,4.67,2.2,3.83,0.71,6.54,691,4.81,4.62,6.3,56711.41,1.17,46.62,0.17,-26.32,0,0,9.99,0,0,0,0,1,1,1,0,0,1,-1,-1
4527,985,2,1,1,1,1,60,1,28,3,2,0.78,9,9,0,43,296,9,0,0,76,22.13,0,16.58,3.92,0,3.15,1,9999.99,9999.99,9999.99,9999.99,9999.99,6.36,631,4.79,4.64,5.76,45299.31,1.28,-266.56,0.08,-66.62,0,0,9.99,0,0,0,1,1,1,1,0,0,-1,1,-1
4612,36,2,1,8,1,1,29,4,23,3,9,0.74,2,2,45,1,207,10,14,22,6,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,4.91,1.33,4.3,1.72,0.71,6.46,690,4.81,4.73,5.24,47551.11,1.22,-120.49,0.31,-36.57,0,0,9.99,0,0,0,0,5,1,1,-1,0,0,-1,1
4618,303,2,6,4,1,0,63,1,33,3,9,0.64,9,9,0,20,327,2,5,20,49,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,32.63,2.09,3.44,7.29,0.71,6.68,637,4.89,4.48,5.92,57875.27,1.29,5.96,-0.16,-37.95,0,0,9.99,0,0,0,0,5,1,1,-1,0,1,-1,-1
4634,776,2,4,2,1,0,55,2,28,2,1,0.62,1,1,28,36,294,5,27,22,71,27.92,3.54,2.3,3.21,1,3.31,1,52.2,15,4.73,2.71,1.42,5.43,588,4.72,4.39,3.86,69863.31,0.87,-39.17,0.08,-48.58,84,2.83,0.69,81,0.57,6,771,1,1,1,1,0,0,0,-1
4684,379,2,8,1,1,0,29,1,38,4,1,1.87,9,9,0,26,334,7,9,20,56,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,54.77,5.14,1.9,3.64,0.71,5.8,622,5.12,3.61,4.73,80921.03,0.87,-103.15,-0.32,-17.17,79,2.64,0,0,0,0,0,4,1,1,-1,0,1,-1,-1
4690,243,2,8,1,2,1,28,1,48,2,1,1.47,2,2,95,11,240,5,13,22,35,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,21.75,2.19,2.81,2.18,0.71,5.43,581,4.72,4.39,3.86,66423.34,0.87,3.12,0.08,-41.43,0,0,9.99,0,0,0,0,1,1,1,0,0,1,-1,-1
4710,754,2,8,1,1,0,38,1,43,2,2,0.69,2,2,55,20,240,5,5,20,53,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,32.71,3.33,2.51,11.25,1.42,5.43,581,4.72,4.39,3.86,66423.34,0.87,3.12,0.08,-41.43,0,0,9.99,0,0,0,0,1,2,1,0,0,1,-1,-1
4751,91,2,1,1,1,1,39,4,13,4,1,0.89,-50,-50,0,15,223,2,9,21,35,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,30.01,2.69,3.58,5.01,0.71,6.7,599,4.84,4.44,6.14,59984.64,1.48,-35.37,-0.21,-4.44,0,0,9.99,0,0,0,0,5,1,1,-1,0,1,-1,-1
4780,28,2,8,6,2,0,44,4,28,1,9,0.69,1,1,28,1,562,11,14,22,2,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,0,0,2.45,4.61,0.71,5.98,610,4.96,4.08,4.16,55933.46,1,-231.74,-0.37,-34.26,0,0,9.99,0,0,0,0,5,1,1,-1,0,0,-1,1
4815,155,2,8,5,2,1,0,4,38,2,9,0.8,9,9,0,1,490,17,11,21,6,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,0,0,2.81,3.94,0.71,6.29,572,5.07,3.58,5.2,45992.25,0.82,29.75,-0.09,40.42,94,3.33,0.69,0,0.01,0,0,5,3,0,-1,0,0,-1,1
4821,140,2,8,1,1,0,39,4,28,4,9,0.46,9,9,0,8,103,4,8,21,28,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,11.24,1,1.32,6.49,0.71,6.31,647,4.78,4.59,6.82,52346.57,1.07,3.42,-0.21,-28.99,0,0,9.99,0,0,0,0,5,1,1,-1,0,1,-1,-1
4906,307,2,1,1,1,1,26,4,18,2,9,0.8,9,9,0,17,273,9,3,20,46,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,29.32,1.34,3.07,4.15,0.71,6.3,639,4.78,4.69,5.7,45672.77,1.27,-260.05,0.16,-60.36,0,0,9.99,0,0,0,0,5,1,1,-1,0,1,-1,-1
4967,534,2,1,1,2,0,24,2,100,5,3,1.42,3,3,0,67,342,9,0,0,88,49.8,0.45,9.13,5.18,0.15,3.51,1,9999.99,9999.99,9999.99,9999.99,9999.99,6.24,667,4.72,4.8,5.47,45643.17,1.38,-271.67,0.19,-59.72,0,0,9.99,0,0,0,0,5,1,1,-1,0,-1,1,-1
4979,140,2,8,1,1,1,25,4,18,1,9,0.69,1,1,18,7,296,5,8,21,29,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,10.34,1.31,2.78,6.6,0.71,5.43,588,4.72,4.39,3.86,69995.55,0.87,-41.18,0.08,-48.93,82,2.83,0.69,81,0.57,6,770,5,1,1,-1,0,1,-1,-1
4981,219,2,8,1,1,0,58,1,38,3,2,1.78,3,3,73,14,192,3,16,22,30,11.54,1.27,1.47,2.63,0.83,2.26,1,41.48,5,1.97,1.25,0.71,6.57,661,4.72,4.71,5.2,58983.61,1.32,-299.72,-0.01,-14.3,44,2.44,1.1,486.89,0.54,6,880,1,1,1,1,0,0,0,-1
5028,81,2,2,1,1,1,28,4,23,1,9,0.69,1,0,23,5,296,9,13,22,15,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,16.2,1.27,2,1.03,0.71,6.36,631,4.79,4.64,5.76,45299.31,1.28,-266.56,0.08,-66.62,0,0,9.99,0,0,0,0,5,1,0,-1,0,1,-1,-1
5068,960,2,8,1,2,0,27,1,48,2,1,0.62,2,2,90,57,233,4,0,0,97,36.79,2.43,13.95,2.46,1,4.41,1,9999.99,9999.99,9999.99,9999.99,9999.99,6.19,642,4.81,4.55,6.48,58543.54,1.03,-17.77,-0.04,-46.47,62,1.95,0,0,0,0,0,2,3,1,0,0,-1,1,-1
5086,195,2,2,1,1,0,58,1,48,2,1,1.47,9,9,0,5,417,3,12,21,17,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,8.93,2.43,4,5.72,0.71,6.35,598,4.66,4.38,6.99,61537.25,1.24,-62.57,-0.06,117.45,21,2.09,1.79,886.33,0.02,1,730,1,1,1,1,0,0,-1,-1
5131,734,2,1,1,1,1,25,1,23,5,4,1.42,4,4,100,30,104,2,4,20,54,24.21,0.61,23.15,2.12,0.74,2.26,0,44.69,13.9,1.69,11.48,1.42,6.65,622,4.79,4.56,5.79,57941.46,1.43,-165.06,-0.24,-5.35,0,0,9.99,0,0,0,0,3,3,1,0,0,1,0,-1
5139,179,1,1,1,1,1,21,4,18,1,9,0.69,1,1,18,4,261,5,11,21,23,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,8.98,2.76,2,1.98,0.71,4.97,564,4.66,4.25,3.44,59820,0.74,172.99,-0.17,25.97,73,4.09,0,0,0,0,0,5,1,1,-1,0,1,-1,-1
5157,217,2,1,5,1,1,33,4,18,1,1,1.16,1,1,18,16,758,4,17,22,32,11.54,2.76,1.73,5.95,0.91,2.26,1,40.22,4.8,6.12,2.8,0.71,5.11,692,4.54,4.17,3.06,63856.28,0.84,154.12,-0.34,30.57,85,4.46,1.1,0,0.65,0,0,9,1,1,-1,0,1,0,-1
