tripno,ozone,empst,occ,jbsite,wkweek,female,age,dweltp,pinc,hhsize,nveh,weight,nwkrs,nldr,hinc,trdist,mindst,minsub,dsttrm,nterm,aivtt,rivttg,rivttt,r-acca,r-egrw,r-wait,r-fare,lrdum,tivtt,twait,t-accw,t-egrw,t-fare,mcost,mdist,mspace,lnlots,zcost,zdist,zspace,zcd,zcs,zds,mdpri,mspri,lnlpri,zdpri,zspri,zdspri,free,aavail,tavail,dlic,a-dr,a-pass,transit,rail,walk
6421,892,2,1,1,1,1,23,4,18,2,2,0.42,2,2,50,34,296,9,9,21,69,28.33,0,7.21,3.92,0,3.1,0,61.2,6.27,3.05,5.65,1.42,6.36,631,4.79,4.64,5.76,45299.31,1.28,-266.56,0.08,-66.62,0,0,9.99,0,0,0,0,1,1,1,0,0,0,1,-1
6431,175,2,8,1,1,1,28,4,18,3,1,1.43,3,3,68,13,593,13,5,21,33,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,28.38,2.23,5.57,0.56,0.71,6.46,600,4.99,3.43,5.79,51817.35,0.68,10.47,0.07,13.88,74,3.01,1.1,417.56,0.99,-10,850,5,1,1,-1,0,1,-1,-1
6437,671,2,1,1,1,1,27,4,100,2,1,0.52,2,1,0,20,323,3,6,20,52,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,32.35,1.97,3.38,1.55,1.42,6.64,599,4.78,4.5,6.02,66019.63,1.31,-128.82,0.09,82.98,62,3.45,0.69,784,1.33,-32,240,5,1,0,-1,0,1,-1,-1
6443,237,2,1,1,2,1,32,4,18,3,1,1.43,3,2,58,17,623,4,14,22,40,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,36.68,4.41,5.31,3.62,0.71,5.67,658,4.42,4.09,3.25,57516.94,0.93,72.34,-0.35,52.67,57,3.01,1.79,495.33,0.72,-10,480,4,1,0,-1,0,1,-1,-1
6453,20,2,3,1,2,0,28,5,23,1,9,0.69,1,1,23,3,587,10,13,21,7,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,11.5,2.94,3.51,0.52,0.71,5.23,604,4.68,4.5,4.52,53673.54,1.08,156.69,0.9,94.69,68,3.18,0.69,841,0.16,11,760,4,1,1,-1,0,1,-1,-1
6493,20,1,8,5,4,0,55,4,18,1,9,0.69,1,1,18,3,550,9,13,21,7,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,7.01,1.56,4.95,5.17,0.71,5.22,536,4.58,4.48,4.78,60680.34,1.07,181.91,0.52,61.03,80,2.31,1.39,510.5,0.34,4,70,5,1,1,-1,0,0,-1,1
6519,57,2,8,8,6,0,44,2,23,2,3,1.12,9,9,0,4,1086,1,12,21,6,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,12.57,2.74,1.61,2.88,0.71,4.31,559,4.41,4.13,3.66,71396,0.79,252.87,0.42,88.44,90,2.65,1.1,2,0.07,0,290,2,1,1,1,0,0,-1,-1
6537,266,2,6,4,1,0,49,1,43,4,2,1.78,9,9,0,20,296,9,8,21,46,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,32.86,8.77,3.05,10.48,0.71,6.36,631,4.79,4.64,5.76,45299.31,1.28,-266.56,0.08,-66.62,0,0,9.99,0,0,0,0,1,1,1,1,0,0,-1,-1
6627,301,1,8,4,4,0,0,4,100,2,1,1.77,2,2,0,21,573,4,5,20,50,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,38.97,3.47,3.91,4.7,0.71,5.34,667,4.59,4.3,2.89,55970.52,0.9,57.83,-0.22,39.45,65,2.54,1.61,572,0.33,5,771,1,2,1,1,0,0,-1,-1
6667,179,1,1,1,1,1,59,4,8,2,1,1.77,-50,-50,0,5,161,17,10,21,21,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9.16,2.02,0.72,3.27,0.71,6.22,563,4.97,3.81,5.24,61565.42,0.82,-19.74,-0.04,-22.78,72,4.72,0,0,0,0,0,1,1,1,0,0,1,-1,-1
6706,814,2,1,1,1,1,42,1,23,2,2,0.69,2,2,65,30,277,11,18,22,69,21.53,2.59,11.85,1.08,1,3.31,0,61.5,7.69,1.08,3.73,1.42,6.14,640,4.91,4.23,4.06,56394.29,1.12,-88.58,-0.16,-41.71,75,4.51,0.69,42.25,0.19,2,831,1,1,1,0,0,0,1,-1
6708,814,2,8,1,1,0,40,1,43,2,2,0.69,2,2,65,29,341,2,19,22,67,21.53,0,11.85,2.15,0,2.6,0,64.31,7.85,1.68,3.73,1.42,6.6,606,4.94,4.51,5.88,51352.88,1.32,-151.82,-0.11,-39.13,0,0,9.99,0,0,0,1,1,1,1,0,0,0,1,-1
6739,65,2,1,1,1,1,30,4,18,2,9,0.8,2,1,35,7,121,10,14,21,25,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,15.32,2,0.52,3.93,0.71,6.18,677,4.81,4.69,6.07,57540.11,1.18,17.94,0.59,-10.83,84,2.07,1.1,1.56,0.18,0,270,5,1,0,-1,0,1,-1,-1
6821,9,2,8,1,1,0,34,4,38,1,9,0.69,1,1,38,2,231,11,12,21,5,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,2.54,1.58,4.43,5.12,0.71,6.49,652,4.83,4.47,6.67,62968.18,1.08,20.29,-0.24,-65.15,96,1.95,0,0,0,0,0,5,1,1,-1,0,0,-1,1
6829,144,2,1,1,1,1,49,4,23,2,9,0.8,1,0,25,7,145,7,8,21,25,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,18.73,4.44,0.23,1.01,0.71,5.87,621,5.11,3.76,4.07,70716.16,0.87,-140.75,-0.31,4.78,27,2.71,0,0,0,0,0,5,1,0,-1,0,1,-1,-1
6859,147,2,8,1,1,1,31,4,28,3,1,1.43,9,9,0,7,207,10,8,21,24,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,12.72,1.48,3.69,5.86,0.71,6.46,690,4.81,4.73,5.24,47551.11,1.22,-120.49,0.31,-36.57,0,0,9.99,0,0,0,0,1,1,1,0,0,1,-1,-1
6904,473,2,8,1,1,0,40,1,43,1,1,0.38,1,1,43,65,277,11,0,0,90,49.8,2.59,6.42,1.08,1,3.51,1,9999.99,9999.99,9999.99,9999.99,9999.99,6.14,640,4.91,4.23,4.06,56394.29,1.12,-88.58,-0.16,-41.71,75,4.51,0.69,42.25,0.19,2,830,1,2,1,0,0,-1,1,-1
6916,129,2,1,1,1,1,64,1,100,1,1,1.16,1,1,0,11,207,10,6,21,34,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,16.69,1.48,3.69,9.3,0.71,6.46,690,4.81,4.73,5.24,47551.11,1.22,-120.49,0.31,-36.57,0,0,9.99,0,0,0,0,1,1,1,0,0,1,-1,-1
7024,1084,2,1,1,1,1,48,1,28,2,1,0.62,2,2,65,47,334,7,0,0,81,47.58,5.66,1.7,1.9,1,5.31,0,9999.99,9999.99,9999.99,9999.99,9999.99,5.8,622,5.12,3.61,4.73,80921.03,0.87,-103.15,-0.32,-17.17,79,2.64,0,0,0,0,1,1,1,1,0,1,-1,0,-1
7033,1084,2,8,1,1,0,63,1,38,2,1,0.62,2,2,65,47,60,7,0,0,79,47.58,5.66,1.7,1.29,1,5.31,0,9999.99,9999.99,9999.99,9999.99,9999.99,5.89,599,5.02,3.81,4.53,60944,0.84,-143.43,0,-17.63,0,0,9.99,0,0,0,1,1,1,1,1,0,-1,0,-1
7077,20,2,8,1,1,1,28,4,28,2,2,1.12,2,2,55,5,1443,1,12,21,8,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,15.24,3.83,4.53,1.89,0.71,3.29,671,4.14,3.5,2.35,44796.24,0.41,87.71,-0.05,-39.16,72,3,1.61,153.04,0.27,1,161,1,1,1,1,0,0,-1,-1
7159,3,2,8,1,1,0,55,4,70,1,9,0.69,1,0,100,2,838,11,11,21,9,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,5.93,2.62,1.44,3.96,0.71,5.88,688,4.96,4.06,3.94,52981.17,1.01,-197.57,-0.15,-3.77,53,3.02,0.69,0.25,0.15,0,190,5,1,0,-1,0,1,-1,0
7193,1039,2,9,1,1,0,34,2,18,4,2,1.42,1,2,0,69,340,2,0,0,97,25.6,0.67,36.52,3.52,0.82,5.01,1,9999.99,9999.99,9999.99,9999.99,9999.99,6.66,603,4.78,4.48,6.15,67336.89,1.24,-110.72,0.05,47.87,61,2.94,0.69,0,0.21,0,0,1,1,1,0,0,-1,1,-1
7211,127,1,4,2,1,1,69,1,8,3,9,0.64,9,9,0,12,1310,1,5,21,35,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,24.98,3.74,4.62,6.65,0.71,3.57,629,4.22,3.64,3.25,44512.71,0.41,152.82,0.07,-5.49,48,2.47,1.95,10.82,0.09,0,170,5,1,0,-1,0,1,-1,-1
7214,127,2,4,2,1,1,73,1,3,3,9,0.64,9,9,0,12,1310,1,5,21,35,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,24.98,3.74,4.62,6.65,0.71,3.57,629,4.22,3.64,3.25,44512.71,0.41,152.82,0.07,-5.49,48,2.47,1.95,10.82,0.09,0,170,5,1,0,-1,0,1,-1,-1
7237,1037,2,8,1,1,0,37,1,48,4,1,0.61,2,2,48,71,758,4,0,0,100,28.73,2.76,32.42,5.95,0.91,5.01,1,9999.99,9999.99,9999.99,9999.99,9999.99,5.11,692,4.54,4.17,3.06,63856.28,0.84,154.12,-0.34,30.57,85,4.46,1.1,0,0.65,0,0,2,1,1,1,0,-1,0,-1
7308,855,2,8,1,1,0,27,3,48,2,2,0.42,2,2,80,37,207,10,17,22,75,37.34,1.64,6.07,2.52,1,4.11,0,72.88,16,2.52,4.9,1.42,6.46,690,4.81,4.73,5.24,47551.11,1.22,-120.49,0.31,-36.57,0,0,9.99,0,0,0,0,1,1,1,0,0,0,1,-1
7312,855,2,8,1,2,1,28,3,33,2,2,0.42,2,2,80,38,167,2,18,22,73,37.34,0.38,6.07,3.78,0.38,4.11,0,75.25,16.41,3.22,4.9,1.42,6.67,608,4.88,4.5,5.86,53821.4,1.51,-94.51,-0.23,-10.05,41,3.26,0,0,0,0,0,1,1,1,0,0,0,1,-1
7448,193,2,2,1,1,0,40,1,70,4,9,0.48,2,2,123,5,368,17,11,21,0,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,6.83,1,4.87,5,0.71,5.68,621,4.78,3.95,4.07,47833.08,0.93,-81.2,0.24,-27.35,0,0,9.99,0,0,0,0,3,1,1,-1,0,1,-1,-1
7519,119,2,8,1,1,0,43,4,23,1,9,0.69,1,0,23,7,342,9,11,21,19,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,12.18,1.75,3.86,1.91,0.71,6.24,667,4.72,4.8,5.47,45643.17,1.38,-271.67,0.19,-59.72,0,0,9.99,0,0,0,0,4,1,0,-1,0,1,-1,-1
7631,66,2,8,1,1,1,45,4,33,4,2,0.56,3,2,90,9,1190,2,16,21,28,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,21.17,3.97,3.91,2.84,0.71,4.65,666,4.49,3.37,3.37,63938.41,0.9,340.12,-0.18,8.72,95,3.32,0.69,2.25,0.05,0,350,5,1,1,1,0,0,-1,-1
7633,66,1,3,1,6,1,22,4,8,4,2,0.56,3,2,90,8,368,17,14,21,27,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,12.04,1.06,4.67,2.84,0.71,5.68,621,4.78,3.95,4.07,47833.08,0.93,-81.2,0.24,-27.35,0,0,9.99,0,0,0,0,5,1,0,-1,0,1,-1,-1
7703,964,2,1,1,1,1,22,4,18,2,2,0.42,2,2,40,55,271,2,0,0,91,36.79,0.14,12.2,4.65,0.04,4.41,1,9999.99,9999.99,9999.99,9999.99,9999.99,6.53,658,4.76,4.74,5.44,43639.47,1.34,-243.3,-0.05,-42.78,0,0,9.99,0,0,0,0,1,4,1,0,0,-1,1,-1
7773,140,2,2,1,2,0,28,4,43,1,9,0.69,1,1,43,8,286,10,8,21,27,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,12.51,1.46,2.82,6.6,0.71,6.61,685,4.73,4.74,5.09,47493.77,1.34,-156.84,0.04,-57.79,0,0,9.99,0,0,0,0,3,1,1,-1,0,1,-1,-1
7820,9,2,2,1,1,0,32,4,28,1,9,0.69,1,1,28,2,102,2,14,21,4,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,3.56,1,0.83,4.34,0.71,6.65,622,4.79,4.56,5.79,57781.04,1.43,-165.5,-0.24,-5.88,0,0,9.99,0,0,0,0,5,1,1,-1,0,0,-1,1
7857,804,2,8,1,1,1,25,4,28,3,1,0.53,3,3,63,26,296,9,18,22,59,25.19,0,0.83,3.92,0,2.1,0,54.55,4.91,3.05,4.62,1.42,6.36,631,4.79,4.64,5.76,45299.31,1.28,-266.56,0.08,-66.62,0,0,9.99,0,0,0,0,1,2,1,1,0,0,0,-1
7861,179,2,1,1,1,0,30,4,18,2,1,1.77,2,2,35,6,233,4,10,21,22,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,11.93,3.29,2.12,4.22,0.71,6.19,642,4.81,4.55,6.48,58538.11,1.03,-18.77,-0.04,-46.71,62,1.95,0,0,0,0,0,3,1,1,0,0,1,-1,-1
7898,187,2,6,3,1,0,21,2,18,5,9,0.48,9,9,35,10,254,5,9,21,33,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,19.4,3.94,1.96,2.14,0.71,5.43,589,4.71,4.36,3.89,64160.03,0.89,51.8,0.09,-27.37,84,3.54,1.1,156.22,0.12,-1,640,2,2,1,1,0,0,-1,-1
7904,187,1,1,1,4,0,58,2,13,5,9,0.48,9,9,35,10,573,4,10,21,31,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,20.75,3.8,3.87,2.14,0.71,5.34,667,4.59,4.3,2.89,55970.52,0.9,57.83,-0.22,39.45,65,2.54,1.61,572,0.33,5,770,5,1,0,-1,0,1,-1,-1
7906,49,2,2,4,2,0,31,4,38,1,1,1.14,1,1,38,8,103,4,13,21,27,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,22.26,4.55,1.33,1.73,0.71,6.31,647,4.78,4.59,6.82,52346.57,1.07,3.42,-0.21,-28.99,0,0,9.99,0,0,0,0,1,3,1,1,0,0,-1,-1
7911,156,2,8,1,1,1,32,4,43,1,1,1.14,1,1,43,5,95,2,11,21,19,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,7.43,1,1.52,3.82,0.71,6.63,619,4.85,4.56,5.7,48602.34,1.45,-156.87,-0.18,-37.3,95,2.3,0.69,6.25,0,0,0,5,1,1,1,0,0,-1,-1
7932,145,2,8,1,1,0,44,2,48,2,1,1.47,2,2,80,6,373,5,9,21,25,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,17.98,4.13,3.34,2.2,0.71,5.26,563,4.73,4.22,3.88,53104.47,0.77,-34.79,0.12,-14.16,52,3.66,1.39,480.69,0.14,5,230,1,1,1,0,0,1,-1,-1
7936,145,2,8,1,1,1,56,2,33,2,1,1.47,2,2,80,6,373,5,9,21,25,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,17.98,4.13,3.34,2.2,0.71,5.26,563,4.73,4.22,3.88,53104.47,0.77,-34.79,0.12,-14.16,52,3.66,1.39,480.69,0.14,5,230,5,1,1,-1,0,1,-1,-1
7944,730,2,8,1,1,0,37,1,53,4,2,1.42,1,2,0,30,51,18,4,20,53,24.21,7.05,21.42,1.28,2,2.26,0,39.52,21.64,1.28,9.8,1.42,5.64,637,5.28,2.94,6.39,77104.95,0.95,84.68,-0.86,-41.65,83,4.05,0.69,9,0.24,-1,480,1,4,1,0,1,0,0,-1
7955,129,2,8,1,1,0,33,1,53,4,1,1.87,2,2,0,12,137,2,6,21,33,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,20.87,3.85,1.44,1.97,0.71,6.56,635,4.82,4.64,5.5,45490.43,1.38,-246.79,-0.2,-38.3,0,0,9.99,0,0,0,0,1,1,1,0,0,1,-1,-1
8007,141,2,8,1,1,0,33,4,53,1,1,1.14,1,1,53,4,478,17,8,21,23,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,8.87,1.48,3.94,4.27,0.71,6.16,703,5.01,3.47,4.67,48235.84,0.94,149.36,-0.03,-19.09,38,3.36,1.1,826.89,2.28,39,370,1,1,1,1,0,0,-1,-1
8013,234,1,2,4,1,0,67,1,28,2,2,1.48,1,2,40,13,1019,1,13,21,36,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,33.23,5.13,2.1,6.06,0.71,4.04,663,4.46,3.95,3.22,51641.77,0.87,161.83,0.38,9.84,56,2.61,1.61,160.56,0.37,0,921,1,1,1,1,0,0,-1,-1
8071,380,2,8,1,1,1,31,4,23,2,9,0.8,9,9,0,26,124,2,7,20,52,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,52.59,6.14,1.26,4.66,0.71,6.57,642,4.8,4.66,5.56,48094.04,1.35,-254.63,-0.22,-22.8,100,3.53,0,0,0,0,0,5,1,0,-1,0,1,-1,-1
8085,289,2,8,1,1,0,0,9,100,1,9,0.53,1,1,0,24,273,9,7,21,47,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,53.69,4.26,2.96,4.32,0.71,6.3,639,4.78,4.69,5.7,45672.77,1.27,-260.05,0.16,-60.36,0,0,9.99,0,0,0,0,1,1,1,-1,0,1,-1,-1
8098,93,1,8,6,6,1,28,1,23,4,1,1.87,-50,-50,0,15,550,5,9,21,38,13.77,3.76,0.63,1.71,1,2.26,0,35.03,2.24,1.71,4.25,0.71,5.49,636,4.86,4.23,3.52,57431.97,0.92,-155.75,0,-9.03,85,2.84,1.1,10.89,0.1,-1,10,1,1,1,1,0,0,0,-1
8101,371,2,8,6,2,0,40,1,43,4,2,1.78,-50,-50,0,30,279,5,3,20,62,9999.99,2.43,9999.99,3.53,1,2.81,1,51.35,7.61,3.4,3.82,0.71,5.56,610,4.62,4.49,4.05,47067.69,0.9,108.34,0,-54.71,0,0,9.99,0,0,0,0,1,2,1,1,0,0,0,-1
8166,428,2,8,1,1,0,34,3,38,3,1,0.58,1,1,0,45,124,2,0,0,72,35.8,0.4,5.24,3.08,0.49,3.51,1,9999.99,9999.99,9999.99,9999.99,9999.99,6.57,642,4.8,4.66,5.56,48094.04,1.35,-254.63,-0.22,-22.8,100,3.53,0,0,0,0,0,1,1,1,0,1,-1,0,-1
8184,79,2,6,3,1,0,50,2,43,7,2,1.78,6,3,0,2,929,9,12,22,10,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,6.37,1.5,1.3,1.93,0.71,4.43,597,4.39,4.23,4,54593.8,0.74,159.89,0.28,86.27,0,0,9.99,0,0,0,0,1,1,1,0,0,1,-1,0
8186,79,2,1,1,1,1,26,2,13,7,2,1.78,6,3,0,2,893,1,13,22,10,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,7.03,1.63,3.9,1.93,0.71,4.67,566,4.54,4.34,4.14,80394.57,0.84,242.45,0.72,100.23,86,2.63,1.1,20.22,0.01,0,530,1,1,1,1,0,0,-1,0
8206,239,2,1,1,1,1,26,1,18,2,1,1.77,2,2,40,17,321,4,13,22,43,9999.99,2.43,9999.99,3.21,1,9999.99,9999.99,32.46,3.47,3.69,5.29,0.71,6.56,643,4.75,4.6,6.32,53486.14,1.15,-44.07,-0.2,-35.77,87,4.99,0.69,30.25,0.49,-3,850,2,1,1,0,0,0,1,-1
8226,376,2,8,1,1,0,30,4,33,1,1,1.14,1,1,33,21,192,5,7,20,51,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,51.37,4.24,2.67,8.17,0.71,5.4,603,4.66,4.47,3.84,50525.13,0.9,80.32,0.05,-33.1,0,0,9.99,0,0,0,0,1,3,1,0,0,1,-1,-1
8313,307,2,1,1,1,1,0,4,100,1,9,0.69,1,0,0,15,137,2,5,20,46,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,24.84,1.1,1.44,1.12,0.71,6.56,635,4.82,4.64,5.5,45490.43,1.38,-246.79,-0.2,-38.3,0,0,9.99,0,0,0,0,5,1,0,-1,0,1,-1,-1
8350,315,2,8,1,2,0,32,4,23,2,2,1.12,9,9,0,12,861,14,4,20,44,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,27.41,2.56,3.61,7.94,0.71,7.8,731,5.02,2.2,7.43,54260.72,1.65,474.82,-1.55,-101.13,63,2.08,0,0,0,0,1,1,2,1,0,0,1,-1,-1
8495,174,2,1,6,1,1,60,3,18,1,9,0.69,1,1,18,10,145,7,6,21,28,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,25.34,2.76,0.23,1.97,0.71,5.87,621,5.11,3.76,4.07,70716.16,0.87,-140.75,-0.31,4.78,27,2.71,0,0,0,0,0,5,1,1,-1,0,1,-1,-1
8536,782,2,2,1,1,1,37,4,33,1,1,0.53,1,1,33,28,296,9,22,22,66,21.56,0,4.43,3.92,0,2.1,1,52.83,20.87,2.58,8.39,1.42,6.36,631,4.79,4.64,5.76,45299.31,1.28,-266.56,0.08,-66.62,0,0,9.99,0,0,0,0,1,1,1,0,0,0,1,-1
8558,376,2,8,1,1,0,41,4,70,2,2,1.12,2,2,128,22,296,9,7,20,50,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,55.34,4.54,2.75,7.7,0.71,6.36,631,4.79,4.64,5.76,45299.31,1.28,-266.56,0.08,-66.62,0,0,9.99,0,0,0,0,1,1,1,0,1,0,-1,-1
8560,376,2,8,1,1,1,41,4,28,2,2,1.12,2,2,128,22,300,9,7,20,50,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,55.88,5.23,3.09,7.69,0.71,6.25,668,4.71,4.8,5.46,47200.95,1.38,-232.1,0.24,-59.8,0,0,9.99,0,0,0,0,1,1,1,1,0,0,-1,-1
8641,369,2,1,1,1,1,59,1,38,2,3,1.48,2,2,70,35,102,2,5,20,62,28.46,0.61,1.13,2.11,0.74,2.81,1,64.8,7.61,0.83,7.93,0.71,6.65,622,4.79,4.56,5.79,57781.04,1.43,-165.5,-0.24,-5.88,0,0,9.99,0,0,0,1,5,4,1,-1,0,0,1,-1
8672,189,2,4,2,1,0,27,5,13,2,1,1.77,2,2,25,11,1052,9,10,21,25,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,21.52,3.38,2.72,1.33,0.71,4.39,581,4.43,4.2,3.72,70227.97,0.79,229.98,0.51,98.14,99,2.51,0.69,0,0.04,0,0,2,1,1,0,1,0,-1,-1
8682,321,2,1,1,1,1,38,4,13,3,1,1.43,2,2,30,16,246,6,3,20,45,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,36.07,3,0.76,3.81,0.71,4.76,659,4.77,4.16,2.75,49007.66,0.81,-45.23,-0.05,54.07,47,2.92,1.79,420.89,0.36,0,771,5,1,1,-1,0,1,-1,-1
8692,785,2,1,1,1,1,48,3,33,1,1,0.38,1,1,33,24,366,18,18,22,55,20.79,5.66,5.1,5.05,1,2.26,1,42.56,7,4.69,8.12,1.42,5.4,617,5.03,3.37,4.64,70579.03,1.11,-148.65,-0.5,-74.59,61,2.97,0.69,0,0.8,0,0,1,9,1,0,0,1,0,-1
8793,349,2,1,1,1,1,26,4,18,1,9,0.69,1,1,18,18,300,9,6,21,40,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,30.54,2.58,3.24,7.64,0.71,6.25,668,4.71,4.8,5.46,47200.95,1.38,-232.1,0.24,-59.8,0,0,9.99,0,0,0,0,5,1,1,-1,0,1,-1,-1
8845,848,2,2,1,1,1,25,1,23,5,1,0.61,2,2,60,29,243,9,7,21,57,24.21,0,6.01,4.06,0,2.5,0,53.47,17.23,2.96,10.29,1.42,6.22,641,4.77,4.68,5.95,50390.33,1.25,-279.16,0.15,-69.75,0,0,9.99,0,0,0,0,5,2,1,-1,0,1,0,-1
8887,7,2,3,5,6,1,54,4,13,2,9,0.8,2,0,25,2,250,5,12,21,8,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,3.76,2,3.65,3.24,0.71,5.56,595,4.69,4.48,4.01,59581,0.96,-19.14,0.04,-58.47,0,0,9.99,0,0,0,0,5,1,0,-1,0,1,-1,0
8891,238,2,3,5,1,1,42,2,18,4,2,1.78,9,9,0,19,256,6,13,22,44,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,46.87,4.38,1.4,2.59,0.71,5.39,622,4.68,4.11,4.09,68926.32,0.65,102.38,-0.09,6.14,93,3.01,0.69,1,0.86,0,930,5,1,0,-1,0,1,-1,-1
8895,140,2,8,1,1,0,22,4,23,1,9,0.69,1,1,23,8,357,10,8,21,27,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,12.38,1.21,2.97,6.6,0.71,6.61,665,4.7,4.74,5.12,46918.63,1.35,-240.71,0.09,-52.6,52,3.23,0.69,156.25,1.33,14,390,5,1,1,-1,0,1,-1,-1
8961,118,1,1,1,2,1,49,4,100,1,9,0.69,1,0,0,8,1876,4,13,21,21,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,17.17,2.16,4.76,4.39,0.71,0,0,0,9.99,0,0,0,0,0,0,69,3.34,1.1,213.56,0.36,4,400,5,1,0,-1,0,1,-1,-1
9069,635,2,1,1,1,1,26,1,18,2,2,0.69,2,2,55,54,124,2,33,20,74,31.56,0.4,32.84,3.08,0.49,4.41,0,72.25,6,1.26,9.61,1.42,6.57,642,4.8,4.66,5.56,48094.04,1.35,-254.63,-0.22,-22.8,100,3.53,0,0,0,0,0,1,1,1,0,0,1,0,-1
9071,187,2,1,1,1,0,26,1,13,3,9,0.64,2,0,30,10,221,11,10,21,32,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,17.36,2,2.83,5.64,0.71,6.5,688,4.76,4.51,7.44,57538.11,1.15,121.57,0.16,-27.63,55,3.4,1.61,313.6,1.13,-5,700,1,1,0,-1,0,1,-1,-1
9146,142,2,8,4,6,0,56,2,48,5,3,1.78,9,9,0,9,338,1,8,21,23,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,23.17,1.85,0.48,2.03,0.71,6.5,626,4.96,4.48,6.52,65397.37,1.21,-89.15,0,-24.86,80,2.71,0,0,0,0,0,1,2,1,0,0,1,-1,-1
9188,428,2,1,1,1,0,33,2,28,4,1,0.61,1,2,0,45,296,9,0,0,72,35.8,0,1.77,3.92,0,2.8,1,9999.99,9999.99,9999.99,9999.99,9999.99,6.36,631,4.79,4.64,5.76,45299.31,1.28,-266.56,0.08,-66.62,0,0,9.99,0,0,0,0,1,1,1,0,0,-1,1,-1
9333,479,2,8,1,1,0,25,2,18,2,9,0.4,1,2,50,59,758,4,0,0,87,49.3,2.76,1.48,5.95,0.91,3.51,1,9999.99,9999.99,9999.99,9999.99,9999.99,5.11,692,4.54,4.17,3.06,63856.28,0.84,154.12,-0.34,30.57,85,4.46,1.1,0,0.65,0,1,5,1,1,-1,1,-1,0,-1
