code,val
occ,0
pinc,99.9
hinc,0
lnlots,9
r-acca,9999.99
jbsite,0
hhsize,9
trdist,0
mdpri,0
r-fare,9999.99
wkweek,0
nveh,9
mcost,0
mspri,0
lrdum,9999.99
age,0
nwkrs,9
mdist,0
lnlpri,9
tivtt,9999.99
dweltp,9.99
nldr,9
mspace,0
rivttg,9999.99
t-fare,9999.99
