,n_variables,adjusted_r2,intercept,sum of squares,vars
88,3,0.154037679,0.629842707,1982.381509,"('dwtype', 'nveh', 'nlic')"
89,3,0.421291276,0.217754432,1356.114149,"('dwtype', 'nveh', 'nftw')"
90,3,0.094581585,0.966214985,2121.707645,"('dwtype', 'nveh', 'nptw')"
91,3,0.084091165,1.100767355,2146.290317,"('dwtype', 'nveh', 'nwah')"
92,3,0.080568952,1.076385758,2154.544077,"('dwtype', 'nveh', 'nstud')"
93,3,0.099751094,0.779711302,2109.593702,"('dwtype', 'nveh', 'nfem')"
94,3,0.130381241,0.652722387,2037.816705,"('dwtype', 'nveh', 'nmale')"
95,3,0.080629286,1.055909192,2154.402695,"('dwtype', 'nveh', 'nchild')"
96,3,0.121425329,1.226880882,2058.803494,"('dwtype', 'nveh', 'n65+')"
97,3,0.424258599,0.162054303,1349.160688,"('dwtype', 'nlic', 'nftw')"
98,3,0.157033541,0.633712139,1975.361173,"('dwtype', 'nlic', 'nptw')"
99,3,0.155677504,0.724412234,1978.538833,"('dwtype', 'nlic', 'nwah')"
100,3,0.151824861,0.737454432,1987.566905,"('dwtype', 'nlic', 'nstud')"
101,3,0.159282993,0.507107985,1970.089929,"('dwtype', 'nlic', 'nfem')"
102,3,0.172384298,0.464149187,1939.389053,"('dwtype', 'nlic', 'nmale')"
103,3,0.149586621,0.677482082,1992.811874,"('dwtype', 'nlic', 'nchild')"
104,3,0.172482011,0.861418107,1939.160078,"('dwtype', 'nlic', 'n65+')"
105,3,0.468228938,0.016316542,1246.123019,"('dwtype', 'nftw', 'nptw')"
106,3,0.421937643,0.230598112,1354.599489,"('dwtype', 'nftw', 'nwah')"
107,3,0.420912216,0.225705204,1357.002419,"('dwtype', 'nftw', 'nstud')"
108,3,0.420417165,0.226711834,1358.162494,"('dwtype', 'nftw', 'nfem')"
109,3,0.421861101,0.197669024,1354.778855,"('dwtype', 'nftw', 'nmale')"
110,3,0.419702412,0.270346466,1359.837408,"('dwtype', 'nftw', 'nchild')"
111,3,0.422153372,0.336477572,1354.093962,"('dwtype', 'nftw', 'n65+')"
112,3,0.031212168,1.531089599,2270.204048,"('dwtype', 'nptw', 'nwah')"
113,3,0.030411632,1.543035781,2272.079978,"('dwtype', 'nptw', 'nstud')"
114,3,0.046766136,1.222085596,2233.755736,"('dwtype', 'nptw', 'nfem')"
115,3,0.102369255,0.887851099,2103.458448,"('dwtype', 'nptw', 'nmale')"
116,3,0.029133227,1.480664875,2275.075722,"('dwtype', 'nptw', 'nchild')"
117,3,0.078378987,1.635150875,2159.67592,"('dwtype', 'nptw', 'n65+')"
118,3,0.01794428,1.635660026,2301.295285,"('dwtype', 'nwah', 'nstud')"
119,3,0.04222784,1.295198886,2244.390529,"('dwtype', 'nwah', 'nfem')"
120,3,0.099739176,0.970823491,2109.62163,"('dwtype', 'nwah', 'nmale')"
121,3,0.018834003,1.602534442,2299.210356,"('dwtype', 'nwah', 'nchild')"
122,3,0.071311949,1.770285234,2176.236429,"('dwtype', 'nwah', 'n65+')"
123,3,0.044576313,1.292560032,2238.887247,"('dwtype', 'nstud', 'nfem')"
124,3,0.107077986,0.992563908,2092.424267,"('dwtype', 'nstud', 'nmale')"
125,3,0.015845956,1.590247457,2306.212381,"('dwtype', 'nstud', 'nchild')"
126,3,0.067600704,1.763832766,2184.933157,"('dwtype', 'nstud', 'n65+')"
127,3,0.12775254,0.500380678,2043.976657,"('dwtype', 'nfem', 'nmale')"
128,3,0.041461049,1.262626855,2246.187384,"('dwtype', 'nfem', 'nchild')"
129,3,0.097182788,1.355511568,2115.61213,"('dwtype', 'nfem', 'n65+')"
130,3,0.102456821,0.952705904,2103.253251,"('dwtype', 'nmale', 'nchild')"
131,3,0.144046753,1.075284524,2005.793695,"('dwtype', 'nmale', 'n65+')"
132,3,0.067110199,1.713658646,2186.082578,"('dwtype', 'nchild', 'n65+')"
133,3,0.189542295,0.289391183,1899.181947,"('npers', 'nveh', 'nlic')"
134,3,0.424179545,0.132323428,1349.345939,"('npers', 'nveh', 'nftw')"
135,3,0.155977987,0.400220401,1977.834698,"('npers', 'nveh', 'nptw')"
136,3,0.158751808,0.402391904,1971.334679,"('npers', 'nveh', 'nwah')"
137,3,0.19929379,0.258138717,1876.330832,"('npers', 'nveh', 'nstud')"
138,3,0.15643255,0.401586591,1976.7695,"('npers', 'nveh', 'nfem')"
139,3,0.156841525,0.400013277,1975.811131,"('npers', 'nveh', 'nmale')"
140,3,0.195552701,0.205486062,1885.097495,"('npers', 'nveh', 'nchild')"
141,3,0.202990224,0.47213904,1867.668811,"('npers', 'nveh', 'n65+')"
142,3,0.426032602,0.113309363,1345.003588,"('npers', 'nlic', 'nftw')"
143,3,0.188171664,0.296773853,1902.39381,"('npers', 'nlic', 'nptw')"
144,3,0.193573284,0.296213234,1889.73595,"('npers', 'nlic', 'nwah')"
145,3,0.227462166,0.170569244,1810.322611,"('npers', 'nlic', 'nstud')"
146,3,0.187618943,0.299067698,1903.689024,"('npers', 'nlic', 'nfem')"
147,3,0.187838999,0.298289479,1903.173358,"('npers', 'nlic', 'nmale')"
148,3,0.21080763,0.167633634,1849.349934,"('npers', 'nlic', 'nchild')"
149,3,0.21964242,0.381417181,1828.646973,"('npers', 'nlic', 'n65+')"
150,3,0.468277768,0.114523381,1246.008594,"('npers', 'nftw', 'nptw')"
151,3,0.424627905,0.134226221,1348.295277,"('npers', 'nftw', 'nwah')"
152,3,0.423140021,0.138159543,1351.781903,"('npers', 'nftw', 'nstud')"
153,3,0.423325993,0.142498749,1351.346107,"('npers', 'nftw', 'nfem')"
154,3,0.423288308,0.142066364,1351.434415,"('npers', 'nftw', 'nmale')"
155,3,0.425227199,0.103296888,1346.890924,"('npers', 'nftw', 'nchild')"
156,3,0.427003601,0.17340355,1342.728201,"('npers', 'nftw', 'n65+')"
157,3,0.126233646,0.484919288,2047.535949,"('npers', 'nptw', 'nwah')"
158,3,0.18723465,0.297138387,1904.589555,"('npers', 'nptw', 'nstud')"
159,3,0.128733803,0.48049793,2041.677219,"('npers', 'nptw', 'nfem')"
