zone,dwtype,npers,nveh,nlic,nftw,nptw,nwah,nstud,nfem,nmale,nchild,n65+,nwork,nnwk,expfac
3,2,1,0,0,0,0,0,0,1,0,0,1,0,2,25.53
7,2,1,1,1,1,0,0,0,0,1,0,0,1,2,30.35
19,2,2,0,2,1,0,0,1,0,2,0,0,1,6,27.24
14,2,1,0,1,1,0,0,0,0,1,0,0,1,1,22.11
24,2,1,0,0,0,0,0,0,1,0,0,1,0,0,30.35
412,2,2,1,2,1,0,0,0,1,1,0,0,0,0,26.34
24,2,1,0,0,0,0,0,0,1,0,0,0,0,0,30.35
9,2,1,1,1,1,0,0,0,0,1,0,0,1,3,25.53
7,2,2,1,2,2,0,0,0,0,2,0,0,2,3,30.35
10,2,1,1,1,1,0,0,0,0,1,0,0,2,2,25.53
2,2,2,2,2,2,0,0,0,1,1,0,0,2,2,24.62
2,2,1,1,1,1,0,0,0,0,1,0,0,0,3,24.62
3,2,1,0,0,0,0,0,0,0,1,0,1,0,3,25.53
401,2,1,0,1,1,0,0,0,0,1,0,0,0,2,25.53
19,2,4,2,2,2,0,0,2,1,3,2,0,1,5,27.24
3,2,2,1,1,1,0,0,1,2,0,0,0,1,3,25.53
7,2,2,2,2,2,0,0,0,1,1,0,0,1,5,30.35
2,2,1,0,1,1,0,0,0,1,0,0,0,1,0,24.62
9,2,1,0,0,0,1,0,0,1,0,0,0,1,2,25.53
21,2,1,1,1,1,0,0,0,1,0,0,0,1,1,30.35
9,2,1,0,1,1,0,0,0,1,0,0,0,1,1,25.53
9,2,1,0,1,1,0,0,0,0,1,0,0,1,1,25.53
9,2,1,0,0,1,0,0,0,0,1,0,0,1,3,25.53
19,2,4,1,2,2,0,0,0,2,2,1,0,1,9,27.24
36,2,1,1,1,1,0,0,0,0,1,0,0,1,3,26.34
18,2,2,1,1,1,0,0,0,1,1,0,0,1,1,27.24
17,2,1,0,0,0,0,0,0,1,0,0,1,0,0,27.24
24,2,1,0,0,0,0,0,0,1,0,0,1,0,0,30.35
20,2,2,1,2,1,0,1,0,1,1,0,0,1,3,30.35
20,1,3,0,1,0,0,0,0,3,0,0,0,0,0,30.35
7,2,2,1,2,0,0,0,0,1,1,0,0,0,0,30.35
32,2,4,1,1,2,1,0,2,0,4,0,0,0,5,26.34
20,2,1,1,0,0,0,0,0,0,1,0,1,0,2,30.35
24,2,2,0,1,1,0,1,0,0,2,0,0,1,1,30.35
2,2,1,0,0,0,1,0,1,0,0,0,0,0,2,24.62
24,2,1,0,0,0,0,0,0,0,1,0,1,0,0,30.35
7,2,1,1,1,1,0,0,0,0,1,0,0,1,1,30.35
1,1,5,1,2,2,0,1,1,2,3,2,0,2,2,24.62
2,2,1,0,1,0,0,1,0,0,1,0,0,1,1,24.62
9,2,1,0,0,1,0,0,0,1,0,0,0,1,1,25.53
28,2,2,0,2,2,0,0,0,1,1,0,0,0,0,22.11
6,2,2,1,2,2,0,0,0,0,2,0,0,2,2,30.35
7,2,1,1,1,1,0,0,0,1,0,0,0,1,1,30.35
10,2,2,0,0,0,2,0,2,1,1,0,0,0,6,25.53
2,2,1,0,1,1,0,0,0,0,1,0,0,1,1,24.62
2,2,1,1,1,0,0,1,0,0,1,0,0,0,9,24.62
12,2,1,0,0,1,0,0,0,0,1,0,0,0,0,22.11
29,2,1,1,1,1,0,0,0,0,1,0,0,1,5,22.11
29,1,4,1,1,2,0,0,2,3,1,2,1,1,5,22.11
16,1,5,0,0,0,0,0,0,5,0,0,5,0,0,22.11
401,2,1,0,1,1,0,0,0,0,1,0,0,5,1,25.53
23,2,5,2,2,0,0,0,2,2,3,3,0,0,4,30.35
23,1,2,2,2,1,0,0,0,1,1,0,0,1,1,30.35
23,2,3,1,1,3,0,0,0,3,0,0,1,1,1,30.35
9,2,1,1,1,1,0,0,0,1,0,0,0,0,3,25.53
