,n_variables,adjusted_r2,intercept,sum of squares,vars
0,1.0,0.059238388601601834,5.2366532543728965,13355.852845563537,"('dwtype',)"
1,1.0,0.29598901607608974,0.4433155656242378,9994.73935694669,"('npers',)"
2,1.0,0.09168218125450618,2.0037492862775457,12895.253140841589,"('nveh',)"
3,1.0,0.133348523992614,1.4432380048640143,12303.722262582163,"('nlic',)"
4,1.0,0.06726217367768743,1.8581363004172462,13241.94036078286,"('nftw',)"
5,1.0,0.044226043561409245,2.502219635188672,13568.980877994212,"('nptw',)"
6,1.0,0.005894693236035877,2.6534184823441023,14113.165364387336,"('nwah',)"
7,1.0,0.2692461430823787,2.0958290510316817,10374.403952147071,"('nstud',)"
8,1.0,0.14242880348351755,1.6192872975675936,12174.81088353812,"('nfem',)"
9,1.0,0.14001313070755345,1.5876499644084958,12209.10583108697,"('nmale',)"
10,1.0,0.13027598473687108,2.409375752831548,12347.342645965953,"('nchild',)"
11,1.0,0.007196993822672807,2.774594927880485,14094.676796417836,"('n65+',)"
12,2.0,0.2991644539191294,1.1883061025105934,9945.347193871145,"('dwtype', 'npers')"
13,2.0,0.12099901412191924,3.963395027902454,12473.63955381305,"('dwtype', 'nveh')"
14,2.0,0.15891354563819202,3.306774595129593,11935.605800058755,"('dwtype', 'nlic')"
15,2.0,0.10760510260423836,4.107528469259816,12663.70853800232,"('dwtype', 'nftw')"
16,2.0,0.09324699266583272,4.853095149989331,12867.460173009566,"('dwtype', 'nptw')"
17,2.0,0.06203998838452481,5.151810796315283,13310.30941802005,"('dwtype', 'nwah')"
18,2.0,0.2906223330969413,3.691142129753149,10066.565870383281,"('dwtype', 'nstud')"
19,2.0,0.16825935502068703,3.4588465828994988,11802.98222005276,"('dwtype', 'nfem')"
20,2.0,0.16371312956255482,3.3748541925413913,11867.496343024422,"('dwtype', 'nmale')"
21,2.0,0.16473720009667847,4.404525350645171,11852.964064988924,"('dwtype', 'nchild')"
22,2.0,0.06854761768433582,5.37490774267075,13217.961600963868,"('dwtype', 'n65+')"
23,2.0,0.3169089180754128,0.28704889389387134,9693.540821048922,"('npers', 'nveh')"
24,2.0,0.31430541341205986,0.2041074546588968,9730.486375455634,"('npers', 'nlic')"
25,2.0,0.2959343513398958,0.41949672398904614,9991.184611510465,"('npers', 'nftw')"
26,2.0,0.30176188946330723,0.45346358335519765,9908.487764515672,"('npers', 'nptw')"
27,2.0,0.29666552002695384,0.43900924809286357,9980.808815803835,"('npers', 'nwah')"
28,2.0,0.35088233344654673,0.8542585502672706,9211.43426535696,"('npers', 'nstud')"
29,2.0,0.2956865620573331,0.44335695404144415,9994.700914956924,"('npers', 'nfem')"
30,2.0,0.2957176493459089,0.4439167046083248,9994.259764561628,"('npers', 'nmale')"
31,2.0,0.295960396994423,0.483624452983082,9990.815005433,"('npers', 'nchild')"
32,2.0,0.31016812041154307,0.5252427110927642,9789.197460478481,"('npers', 'n65+')"
33,2.0,0.14622510240079367,1.3985231798603175,12115.663695311538,"('nveh', 'nlic')"
34,2.0,0.11650986836033841,1.5990666349407627,12537.343675917664,"('nveh', 'nftw')"
35,2.0,0.1326322466399709,1.832027398194254,12308.555837631413,"('nveh', 'nptw')"
36,2.0,0.09585907480225866,1.975743364805075,12830.392898253007,"('nveh', 'nwah')"
37,2.0,0.3409748094966723,1.5058387872934142,9352.028968442646,"('nveh', 'nstud')"
38,2.0,0.2108064579682617,1.105073293952984,11199.209033499625,"('nveh', 'nfem')"
39,2.0,0.17814580795953053,1.3087848661491601,11662.686529369745,"('nveh', 'nmale')"
40,2.0,0.20344484835254695,1.810369887338269,11303.67542928031,"('nveh', 'nchild')"
41,2.0,0.09490583629038013,2.072217665199858,12843.920020289495,"('nveh', 'n65+')"
42,2.0,0.14067815897566704,1.2920845475481972,12194.37870703743,"('nlic', 'nftw')"
43,2.0,0.1626976629859673,1.3510797669997712,11881.906524877239,"('nlic', 'nptw')"
44,2.0,0.1354016963724371,1.4323900093397448,12269.2554064829,"('nlic', 'nwah')"
45,2.0,0.34966021519215706,1.1659678125938155,9228.776979235958,"('nlic', 'nstud')"
46,2.0,0.2301579870515879,0.7548803090607805,10924.59728393562,"('nlic', 'nfem')"
47,2.0,0.19112225864004243,1.047260925382943,11478.54160680762,"('nlic', 'nmale')"
48,2.0,0.24551749237608506,1.2639498080998013,10706.635147122588,"('nlic', 'nchild')"
49,2.0,0.13317320702743557,1.4665694169078871,12300.879230899078,"('nlic', 'n65+')"
50,2.0,0.12853788282371764,1.5239155658355343,12366.657727466314,"('nftw', 'nptw')"
51,2.0,0.08070003545262142,1.7441596001676047,13045.510282496458,"('nftw', 'nwah')"
52,2.0,0.34330827372277745,1.2126338132579073,9318.915476949669,"('nftw', 'nstud')"
53,2.0,0.1736407500841312,1.1528447008521154,11726.616455512769,"('nftw', 'nfem')"
54,2.0,0.15383922815186618,1.3246048414901253,12007.613918733237,"('nftw', 'nmale')"
55,2.0,0.18740307693809344,1.6492117012619913,11531.319399700384,"('nftw', 'nchild')"
56,2.0,0.06716459385040155,1.8908467521670485,13237.587677698788,"('nftw', 'n65+')"
57,2.0,0.05181295884451077,2.4533510518407216,13455.438129179072,"('nptw', 'nwah')"
58,2.0,0.27146617225222786,2.0670342710696996,10338.405207825155,"('nptw', 'nstud')"
59,2.0,0.16090046244709613,1.5735225572174976,11907.410059102967,"('nptw', 'nfem')"
60,2.0,0.16519240095219392,1.509048384916863,11846.504446071996,"('nptw', 'nmale')"
61,2.0,0.16448083996526844,2.2511399921381616,11856.60199478245,"('nptw', 'nchild')"
62,2.0,0.049908939775372786,2.5778941193293177,13482.457493154725,"('nptw', 'n65+')"
63,2.0,0.2739412398528482,2.0615326416772177,10303.282265283158,"('nwah', 'nstud')"
64,2.0,0.14529885749208524,1.60029419655005,12128.807759215271,"('nwah', 'nfem')"
65,2.0,0.1426826257424043,1.5704707322374367,12165.93391988967,"('nwah', 'nmale')"
66,2.0,0.13157087425460387,2.392131790287405,12323.617455058822,"('nwah', 'nchild')"
67,2.0,0.01255170064685675,2.733354862442028,14012.582877654895,"('nwah', 'n65+')"
