,n_variables,adjusted_r2,intercept,sum of squares,vars
446,6.0,0.9871169062609182,-0.47795130575989475,1937.4061076426883,"('npers', 'nveh', 'nlic', 'nmale', 'nchild', 'n65+')"
447,6.0,0.9868489546307657,-0.8457794803904193,1977.701640324797,"('npers', 'nveh', 'nstud', 'nfem', 'nmale', 'nchild')"
448,6.0,0.9856318257256962,-1.2557920291132447,2160.737875427,"('npers', 'nveh', 'nstud', 'nfem', 'nmale', 'n65+')"
449,6.0,0.9908937569495305,-0.14448447958850608,1369.4296774491436,"('npers', 'nveh', 'nstud', 'nfem', 'nchild', 'n65+')"
450,6.0,0.9909207030332636,-0.09249171205631512,1365.3774281790422,"('npers', 'nveh', 'nstud', 'nmale', 'nchild', 'n65+')"
451,6.0,0.9870017326422872,-0.5371492464566501,1954.726331860099,"('npers', 'nveh', 'nfem', 'nmale', 'nchild', 'n65+')"
452,6.0,0.9868734313766263,-0.8420390238526068,1974.020738991185,"('npers', 'nlic', 'nstud', 'nfem', 'nmale', 'nchild')"
453,6.0,0.9865625979830616,-1.2954484305303424,2020.7649859358958,"('npers', 'nlic', 'nstud', 'nfem', 'nmale', 'n65+')"
454,6.0,0.9909164476693895,-0.1689292744146158,1366.017365148108,"('npers', 'nlic', 'nstud', 'nfem', 'nchild', 'n65+')"
455,6.0,0.990938990988708,-0.12451357127746121,1362.6272194720314,"('npers', 'nlic', 'nstud', 'nmale', 'nchild', 'n65+')"
456,6.0,0.986801652895957,-0.806712863099321,1984.8150458294342,"('npers', 'nlic', 'nfem', 'nmale', 'nchild', 'n65+')"
457,6.0,0.991127856864624,-0.2725949887859187,1334.224887785561,"('npers', 'nstud', 'nfem', 'nmale', 'nchild', 'n65+')"
458,6.0,0.9854172957895916,-0.9765568741146353,2192.999661058537,"('nveh', 'nlic', 'nstud', 'nfem', 'nmale', 'nchild')"
459,6.0,0.9866555705114761,-0.9020138797019399,2006.7834417477359,"('nveh', 'nlic', 'nstud', 'nfem', 'nmale', 'n65+')"
460,6.0,0.9793774097190117,1.2250660931890494,3101.2995150842357,"('nveh', 'nlic', 'nstud', 'nfem', 'nchild', 'n65+')"
461,6.0,0.9802764113910921,-2.3899153625346443,2966.104400809333,"('nveh', 'nlic', 'nstud', 'nmale', 'nchild', 'n65+')"
462,6.0,0.9869086647324822,-0.5033231029145995,1968.7222198458285,"('nveh', 'nlic', 'nfem', 'nmale', 'nchild', 'n65+')"
463,6.0,0.9905375813545249,-0.13978705283974335,1422.9926482023704,"('nveh', 'nstud', 'nfem', 'nmale', 'nchild', 'n65+')"
464,6.0,0.9905624134622885,-0.16822369736107845,1419.2583062639312,"('nlic', 'nstud', 'nfem', 'nmale', 'nchild', 'n65+')"
465,7.0,0.9885769540961087,-0.3844110828163636,1676.9379226431,"('dwtype', 'npers', 'nveh', 'nlic', 'nstud', 'nfem', 'nmale')"
466,7.0,0.9885879820322033,-0.3748050210228939,1675.3189880435834,"('dwtype', 'npers', 'nveh', 'nlic', 'nstud', 'nfem', 'nchild')"
467,7.0,0.9937273473837572,0.47775174962024636,920.8445047183562,"('dwtype', 'npers', 'nveh', 'nlic', 'nstud', 'nfem', 'n65+')"
468,7.0,0.9884228984352498,-0.3170827408018013,1699.5537627671386,"('dwtype', 'npers', 'nveh', 'nlic', 'nstud', 'nmale', 'nchild')"
469,7.0,0.9936971992945056,0.5016237952242761,925.2703360234582,"('dwtype', 'npers', 'nveh', 'nlic', 'nstud', 'nmale', 'n65+')"
470,7.0,0.994296488709373,0.6897295543982054,837.2928250438954,"('dwtype', 'npers', 'nveh', 'nlic', 'nstud', 'nchild', 'n65+')"
471,7.0,0.9884776383388814,-0.25768654860186047,1691.5177782272938,"('dwtype', 'npers', 'nveh', 'nlic', 'nfem', 'nmale', 'nchild')"
472,7.0,0.992546951721207,0.45906979010566573,1094.1301823658432,"('dwtype', 'npers', 'nveh', 'nlic', 'nfem', 'nmale', 'n65+')"
473,7.0,0.9931579623962602,0.5571609151491046,1004.4319546989243,"('dwtype', 'npers', 'nveh', 'nlic', 'nfem', 'nchild', 'n65+')"
474,7.0,0.9931435706466712,0.575762377639002,1006.5447073624471,"('dwtype', 'npers', 'nveh', 'nlic', 'nmale', 'nchild', 'n65+')"
475,7.0,0.9890338959247612,-0.2925766481897014,1609.8574707779462,"('dwtype', 'npers', 'nveh', 'nstud', 'nfem', 'nmale', 'nchild')"
476,7.0,0.993417263740872,0.4448775738771573,966.3657277196713,"('dwtype', 'npers', 'nveh', 'nstud', 'nfem', 'nmale', 'n65+')"
477,7.0,0.9935661263264151,0.4833863266801828,944.512246865268,"('dwtype', 'npers', 'nveh', 'nstud', 'nfem', 'nchild', 'n65+')"
478,7.0,0.9935646033369987,0.530134796841601,944.7358263492199,"('dwtype', 'npers', 'nveh', 'nstud', 'nmale', 'nchild', 'n65+')"
479,7.0,0.9926874411135609,0.4988065799850787,1073.5059117685078,"('dwtype', 'npers', 'nveh', 'nfem', 'nmale', 'nchild', 'n65+')"
480,7.0,0.9886916383211667,-0.11761233521188785,1660.1019291832974,"('dwtype', 'npers', 'nlic', 'nstud', 'nfem', 'nmale', 'nchild')"
481,7.0,0.9931287612026584,0.6436399944687281,1008.718778839312,"('dwtype', 'npers', 'nlic', 'nstud', 'nfem', 'nmale', 'n65+')"
482,7.0,0.9935971253349442,0.7389574364808169,939.9614980191059,"('dwtype', 'npers', 'nlic', 'nstud', 'nfem', 'nchild', 'n65+')"
483,7.0,0.9936013599198136,0.7750500681876176,939.3398480656923,"('dwtype', 'npers', 'nlic', 'nstud', 'nmale', 'nchild', 'n65+')"
484,7.0,0.9926009869707012,0.7164835359598385,1086.1976431990793,"('dwtype', 'npers', 'nlic', 'nfem', 'nmale', 'nchild', 'n65+')"
485,7.0,0.99376850513493,0.6606748059396352,914.8024215180695,"('dwtype', 'npers', 'nstud', 'nfem', 'nmale', 'nchild', 'n65+')"
486,7.0,0.988228301841288,-0.3502647174050324,1728.1211353206113,"('dwtype', 'nveh', 'nlic', 'nstud', 'nfem', 'nmale', 'nchild')"
487,7.0,0.9935996361772934,0.4939445308913193,939.5928987165776,"('dwtype', 'nveh', 'nlic', 'nstud', 'nfem', 'nmale', 'n65+')"
